Model,Spearman,MSE,Throughput,Size,TOPSIS Score,Rank
all-MiniLM-L6-v2,0.8203246731235654,0.03681892823492178,386.48743315922525,86.64404296875,0.9565139904708828,2
paraphrase-MiniLM-L6-v2,0.8412344292546856,0.037287235674051775,381.7237601862439,86.64404296875,0.9602867379171568,1
all-MiniLM-L12-v2,0.8308938533093635,0.034654182636019326,203.51306195726036,127.25830078125,0.7687380350804085,3
all-mpnet-base-v2,0.8342190421330611,0.032575792513429784,35.998802592802214,417.65771484375,0.5694202768334908,4
multi-qa-mpnet-base-dot-v1,0.7195817123382368,0.11261849842720195,50.56929832580464,417.65771484375,0.4116622896274665,5
bert-large-nli-stsb-mean-tokens,0.8526893810055073,0.030796569969114694,6.906415911116336,1278.46484375,0.36624843023028747,6
